Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1599793400,192.168.86.90,56494,162.222.42.179,4287,6,2633,104,2,2
1599793402,192.168.86.90,56498,54.149.94.178,443,6,260,1618,5,5
1599793402,192.168.86.90,56500,54.149.94.178,443,6,156,741,3,3
1599793403,192.168.86.90,56503,45.57.100.137,443,6,40,0,1,0
1599793403,192.168.86.90,56506,45.57.100.137,443,6,4432,441219,48,296
1599793403,192.168.86.90,56457,8.37.103.246,443,6,104,1229,2,2
1599793403,192.168.86.90,56505,45.57.100.137,443,6,4540,445081,50,299
1599793403,192.168.86.90,56504,45.57.100.137,443,6,3572,111688,50,76
1599793403,192.168.86.90,56500,54.149.94.178,443,6,104,494,2,2
1599793403,192.168.86.90,56494,162.222.42.179,4287,6,6277,260,5,5
1599793403,192.168.86.90,56498,54.149.94.178,443,6,52,745,1,1
1599793404,192.168.86.90,56498,54.149.94.178,443,6,420,4716,7,6
1599793404,192.168.86.90,56447,142.250.101.188,443,6,40,52,1,1
1599793404,192.168.86.90,56450,216.58.194.206,443,6,40,52,1,1
1599793404,192.168.86.90,56500,54.149.94.178,443,6,52,344,1,1
1599793405,192.168.86.90,56500,54.149.94.178,443,6,220,3988,4,4
1599793405,192.168.86.90,5353,224.0.0.251,5353,17,113,0,1,0
1599793405,192.168.86.90,56498,54.149.94.178,443,6,52,746,1,1
1599793405,192.168.86.90,56494,162.222.42.179,4287,6,2681,104,2,2
1599793406,192.168.86.90,56499,54.149.94.178,443,6,160,108,2,1
1599793407,192.168.86.1,5353,224.0.0.251,5353,17,72,0,1,0
1599793407,192.168.86.90,56494,162.222.42.179,4287,6,6277,260,5,5
1599793407,192.168.86.90,56500,54.149.94.178,443,6,108,0,1,0
1599793408,192.168.86.90,56500,54.149.94.178,443,6,52,108,1,1
1599793409,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599793409,192.168.86.90,56498,54.149.94.178,443,6,116,1236,2,2
1599793409,192.168.86.90,56494,162.222.42.179,4287,6,2649,104,2,2
