Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1599791307,192.168.86.90,59651,8.37.96.91,443,17,22417,992711,143,697
1599791308,192.168.86.90,52469,8.37.96.91,443,6,157,105,2,1
1599791308,192.168.86.90,59651,8.37.96.91,443,17,271,267,2,2
1599791310,192.168.86.90,59651,8.37.96.91,443,17,384,434,3,3
1599791311,192.168.86.90,59651,8.37.96.91,443,17,634,472,4,4
1599791312,192.168.86.90,59651,8.37.96.91,443,17,292,292,2,2
1599791312,192.168.86.90,5353,224.0.0.251,5353,17,99,0,1,0
1599791313,192.168.86.91,5353,224.0.0.251,5353,17,213,0,1,0
1599791313,192.168.86.90,59651,8.37.96.91,443,17,914,1959,7,6
1599791314,192.168.86.90,59651,8.37.96.91,443,17,292,292,2,2
1599791315,192.168.86.90,59651,8.37.96.91,443,17,292,292,2,2
1599791320,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791322,192.168.86.90,59651,8.37.96.91,443,17,292,174,2,1
1599791323,192.168.86.90,59651,8.37.96.91,443,17,24606,1498325,176,1033
1599791323,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599791324,192.168.86.90,59651,8.37.96.91,443,17,174,0,1,0
1599791325,192.168.86.90,59651,8.37.96.91,443,17,634,638,5,4
1599791326,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791327,192.168.86.90,59651,8.37.96.91,443,17,131,0,1,0
1599791328,192.168.86.90,59651,8.37.96.91,443,17,8993,7441,34,27
1599791328,192.168.86.90,52469,8.37.96.91,443,6,105,52,1,1
1599791331,192.168.86.90,59651,8.37.96.91,443,17,528,354,3,3
1599791332,192.168.86.90,59651,8.37.96.91,443,17,13124,764,11,6
1599791333,192.168.86.90,59651,8.37.96.91,443,17,3307,5303,7,4
1599791334,192.168.86.90,59651,8.37.96.91,443,17,1287,3014,10,14
1599791335,192.168.86.90,59651,8.37.96.91,443,17,398,410,3,3
1599791336,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791337,192.168.86.90,59651,8.37.96.91,443,17,460,528,4,4
1599791338,192.168.86.90,59651,8.37.96.91,443,17,2371,1970,10,10
1599791338,192.168.86.90,52469,8.37.96.91,443,6,157,105,2,1
1599791339,192.168.86.90,59651,8.37.96.91,443,17,24053,1284753,163,889
1599791340,192.168.86.90,59651,8.37.96.91,443,17,590,700,5,5
1599791342,192.168.86.90,59651,8.37.96.91,443,17,398,174,3,1
1599791343,192.168.86.90,59651,8.37.96.91,443,17,0,118,0,1
1599791344,192.168.86.90,59651,8.37.96.91,443,17,174,0,1,0
1599791345,192.168.86.90,59651,8.37.96.91,443,17,410,348,3,2
1599791347,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791349,192.168.86.90,59651,8.37.96.91,443,17,330,354,3,3
1599791350,192.168.86.90,59651,8.37.96.91,443,17,2204,629,5,5
1599791351,192.168.86.90,59651,8.37.96.91,443,17,1157,1879,8,8
1599791352,192.168.86.90,59651,8.37.96.91,443,17,504,410,4,3
1599791353,192.168.86.90,59651,8.37.96.91,443,17,174,118,1,1
1599791353,192.168.86.1,35156,239.255.255.250,1900,17,10254,0,22,0
1599791353,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599791353,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599791354,192.168.86.90,59651,8.37.96.91,443,17,224,410,2,3
1599791355,192.168.86.90,59651,8.37.96.91,443,17,30393,1526267,200,1059
1599791356,192.168.86.90,59651,8.37.96.91,443,17,3776,294892,32,203
1599791357,192.168.86.90,59651,8.37.96.91,443,17,224,274,2,2
1599791358,192.168.86.90,59651,8.37.96.91,443,17,796,1803,6,5
1599791358,192.168.86.90,52469,8.37.96.91,443,6,105,52,1,1
1599791359,192.168.86.90,59651,8.37.96.91,443,17,472,528,4,4
1599791361,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599791362,192.168.86.90,59651,8.37.96.91,443,17,764,702,6,5
1599791363,192.168.86.90,59651,8.37.96.91,443,17,2896,1787,9,9
1599791364,192.168.86.90,59651,8.37.96.91,443,17,1758,1779,13,12
1599791365,192.168.86.90,59651,8.37.96.91,443,17,292,174,2,1
1599791367,192.168.86.90,59651,8.37.96.91,443,17,118,172,1,1
1599791368,192.168.86.90,52469,8.37.96.91,443,6,157,105,2,1
1599791368,192.168.86.90,59651,8.37.96.91,443,17,290,0,2,0
1599791369,192.168.86.90,59651,8.37.96.91,443,17,2215,5884,11,13
1599791370,192.168.86.90,59651,8.37.96.91,443,17,2550,670,6,5
1599791371,192.168.86.90,59651,8.37.96.91,443,17,18407,1018699,130,706
1599791372,192.168.86.90,59651,8.37.96.91,443,17,410,1486,3,3
1599791373,192.168.86.90,59651,8.37.96.91,443,17,3415,3184,16,14
1599791374,192.168.86.90,59651,8.37.96.91,443,17,174,118,1,1
1599791375,192.168.86.90,59651,8.37.96.91,443,17,410,584,3,4
1599791378,192.168.86.90,59651,8.37.96.91,443,17,354,2576,3,3
1599791379,192.168.86.90,59651,8.37.96.91,443,17,118,118,1,1
1599791380,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791382,192.168.86.90,59651,8.37.96.91,443,17,504,410,4,3
1599791383,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599791383,192.168.86.90,59651,8.37.96.91,443,17,1187,714,6,5
1599791384,192.168.86.90,59651,8.37.96.91,443,17,354,818,3,3
1599791385,192.168.86.90,59651,8.37.96.91,443,17,3447,803,7,6
1599791386,192.168.86.90,59651,8.37.96.91,443,17,747,2736,6,6
1599791387,192.168.86.90,59651,8.37.96.91,443,17,26692,1388682,177,959
1599791388,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791388,192.168.86.90,52469,8.37.96.91,443,6,105,0,1,0
1599791389,192.168.86.90,52469,8.37.96.91,443,6,0,52,0,1
1599791389,192.168.86.90,59651,8.37.96.91,443,17,858,629,6,5
1599791389,192.168.86.90,57308,239.255.255.250,1900,17,202,0,1,0
1599791390,192.168.86.90,57308,239.255.255.250,1900,17,202,0,1,0
1599791390,192.168.86.90,59651,8.37.96.91,443,17,268,0,1,0
1599791391,192.168.86.90,59651,8.37.96.91,443,17,1107,354,5,3
1599791391,192.168.86.90,57308,239.255.255.250,1900,17,202,0,1,0
1599791392,192.168.86.90,59651,8.37.96.91,443,17,4084,10463,21,17
1599791392,192.168.86.90,57308,239.255.255.250,1900,17,202,0,1,0
1599791393,192.168.86.90,59651,8.37.96.91,443,17,28337,11592,33,24
1599791394,192.168.86.90,59651,8.37.96.91,443,17,398,410,3,3
1599791395,192.168.86.90,59651,8.37.96.91,443,17,398,410,3,3
1599791396,192.168.86.90,59651,8.37.96.91,443,17,2871,2022,10,10
1599791397,192.168.86.90,59651,8.37.96.91,443,17,3954,944,8,8
1599791398,192.168.86.90,59651,8.37.96.91,443,17,417,236,2,2
1599791398,192.168.86.90,52469,8.37.96.91,443,6,105,0,1,0
1599791399,192.168.86.90,52469,8.37.96.91,443,6,52,105,1,1
1599791399,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791400,192.168.86.90,59651,8.37.96.91,443,17,354,410,3,3
1599791401,192.168.86.90,59651,8.37.96.91,443,17,491,274,2,2
1599791402,192.168.86.90,59651,8.37.96.91,443,17,8500,176829,39,127
1599791403,192.168.86.90,59651,8.37.96.91,443,17,25132,1455152,179,1009
1599791404,192.168.86.90,59651,8.37.96.91,443,17,118,174,1,1
1599791405,192.168.86.90,59651,8.37.96.91,443,17,976,410,4,3
1599791406,192.168.86.90,59651,8.37.96.91,443,17,684,236,2,2
1599791407,192.168.86.90,59651,8.37.96.91,443,17,684,236,2,2
1599791408,192.168.86.90,59651,8.37.96.91,443,17,118,172,1,1
1599791410,192.168.86.90,59651,8.37.96.91,443,17,6287,1416,12,12
1599791411,192.168.86.90,59651,8.37.96.91,443,17,8962,2242,19,19
1599791412,192.168.86.90,59651,8.37.96.91,443,17,292,292,2,2
1599791413,192.168.86.90,59651,8.37.96.91,443,17,437,118,1,1
1599791413,192.168.86.1,35156,239.255.255.250,1900,17,8907,0,19,0
1599791413,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599791414,192.168.86.1,35156,239.255.255.250,1900,17,1347,0,3,0
1599791414,192.168.86.90,59651,8.37.96.91,443,17,976,528,4,4
1599791414,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599791415,192.168.86.90,59651,8.37.96.91,443,17,1082,646,5,5
1599791416,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791417,192.168.86.90,59651,8.37.96.91,443,17,311,118,1,1
1599791417,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599791418,192.168.86.90,59651,8.37.96.91,443,17,373,118,1,1
1599791419,192.168.86.90,52469,8.37.96.91,443,6,105,52,1,1
1599791419,192.168.86.90,59651,8.37.96.91,443,17,22534,1055665,142,732
1599791420,192.168.86.90,59651,8.37.96.91,443,17,708,236,2,2
1599791421,192.168.86.90,59651,8.37.96.91,443,17,762,442,5,3
1599791422,192.168.86.90,59651,8.37.96.91,443,17,3586,4255,9,11
1599791423,192.168.86.90,59651,8.37.96.91,443,17,665,292,3,2
1599791424,192.168.86.90,59651,8.37.96.91,443,17,292,174,2,1
1599791425,192.168.86.90,59651,8.37.96.91,443,17,1577,646,6,5
1599791427,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791428,192.168.86.90,59651,8.37.96.91,443,17,474,494,3,3
1599791429,192.168.86.90,52469,8.37.96.91,443,6,157,105,2,1
1599791429,192.168.86.90,59651,8.37.96.91,443,17,311,118,1,1
1599791430,192.168.86.90,59651,8.37.96.91,443,17,974,498,4,4
1599791431,192.168.86.90,59651,8.37.96.91,443,17,1007,590,5,5
1599791432,192.168.86.90,59651,8.37.96.91,443,17,292,292,2,2
1599791433,192.168.86.90,5353,224.0.0.251,5353,17,99,0,1,0
1599791433,192.168.86.91,5353,224.0.0.251,5353,17,213,0,1,0
1599791434,192.168.86.90,59651,8.37.96.91,443,17,709,0,2,0
1599791435,192.168.86.90,59651,8.37.96.91,443,17,23997,1109780,152,774
1599791436,192.168.86.90,59651,8.37.96.91,443,17,4635,1298,10,11
1599791437,192.168.86.90,59651,8.37.96.91,443,17,439,0,1,0
1599791438,192.168.86.90,59651,8.37.96.91,443,17,2673,5229,14,14
1599791439,192.168.86.90,59651,8.37.96.91,443,17,479,236,2,2
1599791440,192.168.86.90,59651,8.37.96.91,443,17,212,236,2,2
1599791441,192.168.86.90,59651,8.37.96.91,443,17,1179,354,3,3
1599791442,192.168.86.90,59651,8.37.96.91,443,17,106,118,1,1
1599791443,192.168.86.90,59651,8.37.96.91,443,17,398,292,3,2
1599791443,0.0.0.0,68,255.255.255.255,67,17,272,0,1,0
1599791444,192.168.86.90,59651,8.37.96.91,443,17,291,174,2,1
1599791445,192.168.86.90,59651,8.37.96.91,443,17,398,292,3,2
1599791447,192.168.86.90,59651,8.37.96.91,443,17,973,236,2,2
1599791448,192.168.86.90,59651,8.37.96.91,443,17,342,1479,3,3
1599791449,192.168.86.90,52469,8.37.96.91,443,6,105,52,1,1
1599791449,192.168.86.90,59651,8.37.96.91,443,17,740,236,2,2
1599791450,192.168.86.90,59651,8.37.96.91,443,17,4068,2516,13,12
1599791451,192.168.86.90,59651,8.37.96.91,443,17,23484,1197508,155,832
1599791452,192.168.86.90,59651,8.37.96.91,443,17,6394,4154,14,12
1599791453,192.168.86.90,59651,8.37.96.91,443,17,14336,6537,17,14
1599791454,192.168.86.90,59651,8.37.96.91,443,17,118,410,1,3
1599791455,192.168.86.90,59651,8.37.96.91,443,17,398,410,3,3
1599791456,192.168.86.90,59651,8.37.96.91,443,17,1057,354,3,3
1599791457,192.168.86.90,59651,8.37.96.91,443,17,700,236,2,2
1599791458,192.168.86.90,59651,8.37.96.91,443,17,442,178,3,1
1599791459,192.168.86.90,59651,8.37.96.91,443,17,936,1694,4,5
1599791459,192.168.86.90,52469,8.37.96.91,443,6,157,105,2,1
1599791460,192.168.86.90,59651,8.37.96.91,443,17,1091,708,6,6
1599791461,192.168.86.90,59651,8.37.96.91,443,17,970,526,4,4
1599791462,192.168.86.90,59651,8.37.96.91,443,17,485,118,2,1
1599791463,192.168.86.90,59651,8.37.96.91,443,17,491,292,2,2
1599791464,192.168.86.90,59651,8.37.96.91,443,17,651,292,3,2
